# symbol: SPY
# spot: 585.4
# as_of: 2026-03-02T18:30:00Z
# source: synthetic-demo (shape is realistic, numbers are not a real session)
expiry,strike,right,open_interest,implied_vol,bid,ask,last,volume
2026-03-04,560,P,42012,0.1801,,,,11545
2026-03-04,561,C,8494,0.1788,,,,1259
2026-03-04,561,P,33579,0.1788,,,,9173
2026-03-04,562,C,9430,0.1775,,,,2611
2026-03-04,562,P,31594,0.1775,,,,5336
2026-03-04,563,C,10725,0.1763,,,,270
2026-03-04,563,P,30073,0.1763,,,,2143
2026-03-04,564,C,6630,0.175,,,,1616
2026-03-04,564,P,23304,0.175,,,,3555
2026-03-04,565,C,16914,0.1738,,,,2973
2026-03-04,565,P,33937,0.1738,,,,5604
2026-03-04,566,C,12474,0.1726,,,,2988
2026-03-04,566,P,21547,0.1726,,,,3811
2026-03-04,567,C,9927,0.1714,,,,968
2026-03-04,567,P,38171,0.1714,,,,6189
2026-03-04,568,C,13552,0.1703,,,,3154
2026-03-04,568,P,41481,0.1703,,,,5977
2026-03-04,569,C,14611,0.1691,,,,2360
2026-03-04,569,P,31300,0.1691,,,,6697
2026-03-04,570,C,25398,0.1679,,,,4300
2026-03-04,570,P,57438,0.1679,,,,16290
2026-03-04,571,C,16683,0.1668,,,,4428
2026-03-04,571,P,41301,0.1668,,,,3828
2026-03-04,572,C,15590,0.1657,,,,4429
2026-03-04,572,P,38430,0.1657,,,,2244
2026-03-04,573,C,10719,0.1646,,,,1541
2026-03-04,573,P,19664,0.1646,,,,1718
2026-03-04,574,C,10443,0.1635,,,,2166
2026-03-04,574,P,36226,0.1635,,,,9823
2026-03-04,575,C,40207,0.1624,,,,8866
2026-03-04,575,P,111734,0.1624,,,,6707
2026-03-04,576,C,21973,0.1613,,,,6392
2026-03-04,576,P,22267,0.1613,,,,6383
2026-03-04,577,C,15884,0.1603,,,,2484
2026-03-04,577,P,39330,0.1603,,,,9953
2026-03-04,578,C,12946,0.1592,,,,1823
2026-03-04,578,P,28127,0.1592,,,,3233
2026-03-04,579,C,13776,0.1582,,,,1504
2026-03-04,579,P,32127,0.1582,,,,817
2026-03-04,580,C,36967,0.1572,,,,5298
2026-03-04,580,P,31236,0.1572,,,,3524
2026-03-04,581,C,20971,0.1562,,,,3427
2026-03-04,581,P,17073,0.1562,,,,5050
2026-03-04,582,C,23993,0.1552,,,,7007
2026-03-04,582,P,17535,0.1552,,,,1654
2026-03-04,583,C,12568,0.1542,,,,2992
2026-03-04,583,P,20457,0.1542,,,,1151
2026-03-04,584,C,19021,0.1533,,,,5234
2026-03-04,584,P,30701,0.1533,,,,2837
2026-03-04,585,C,18572,0.1523,,,,5151
2026-03-04,585,P,31490,0.1523,,,,6805
2026-03-04,586,C,14102,0.1514,,,,509
2026-03-04,586,P,26714,0.1514,,,,3715
2026-03-04,587,C,14032,0.1504,,,,3967
2026-03-04,587,P,25009,0.1504,,,,6113
2026-03-04,588,C,14431,0.1495,,,,3748
2026-03-04,588,P,14329,0.1495,,,,3748
2026-03-04,589,C,21112,0.1486,,,,2427
2026-03-04,589,P,22183,0.1486,,,,6199
2026-03-04,590,C,34325,0.1477,,,,1928
2026-03-04,590,P,40023,0.1477,,,,3472
2026-03-04,591,C,15418,0.1469,,,,1005
2026-03-04,591,P,12779,0.1469,,,,977
2026-03-04,592,C,19234,0.146,,,,2027
2026-03-04,592,P,23298,0.146,,,,2357
2026-03-04,593,C,22830,0.1452,,,,1593
2026-03-04,593,P,16348,0.1452,,,,410
2026-03-04,594,C,18402,0.1443,,,,447
2026-03-04,594,P,21314,0.1443,,,,3714
2026-03-04,595,C,21728,0.1435,,,,3322
2026-03-04,595,P,29149,0.1435,,,,1450
2026-03-04,596,C,29166,0.1427,,,,4112
2026-03-04,596,P,16579,0.1427,,,,4205
2026-03-04,597,C,21324,0.1419,,,,3451
2026-03-04,597,P,18397,0.1419,,,,5428
2026-03-04,598,C,20431,0.1411,,,,5169
2026-03-04,598,P,17889,0.1411,,,,3543
2026-03-04,599,C,21613,0.1403,,,,2535
2026-03-04,599,P,9469,0.1403,,,,533
2026-03-04,600,C,52226,0.1395,,,,11878
2026-03-04,600,P,38534,0.1395,,,,2532
2026-03-04,601,C,15597,0.1388,,,,3985
2026-03-04,601,P,17465,0.1388,,,,3628
2026-03-04,602,C,19239,0.138,,,,1689
2026-03-04,602,P,10736,0.138,,,,1595
2026-03-04,603,C,16856,0.1373,,,,2441
2026-03-04,603,P,9949,0.1373,,,,2878
2026-03-04,604,C,31838,0.1366,,,,5513
2026-03-04,604,P,9304,0.1366,,,,2701
2026-03-04,605,C,24329,0.1359,,,,2915
2026-03-04,605,P,8359,0.1359,,,,1060
2026-03-04,606,C,22331,0.1352,,,,3590
2026-03-04,606,P,8048,0.1352,,,,1298
2026-03-04,607,C,13649,0.1345,,,,1282
2026-03-04,607,P,6747,0.1345,,,,889
2026-03-04,608,C,14173,0.1338,,,,372
2026-03-04,608,P,8031,0.1338,,,,684
2026-03-04,609,C,23650,0.1332,,,,3977
2026-03-04,609,P,10827,0.1332,,,,2209
2026-03-04,610,C,48727,0.1325,,,,12968
2026-03-04,610,P,14777,0.1325,,,,1644
2026-03-04,611,C,29943,0.1319,,,,1851
2026-03-04,611,P,9506,0.1319,,,,1902
2026-03-04,612,C,13503,0.1312,,,,3428
2026-03-04,612,P,9991,0.1312,,,,1954
2026-03-04,613,C,24847,0.1306,,,,6147
2026-03-04,613,P,5100,0.1306,,,,849
2026-03-04,614,C,20650,0.13,,,,5240
2026-03-04,614,P,8394,0.13,,,,2110
2026-03-04,615,C,26957,0.1294,,,,7278
2026-03-04,615,P,9092,0.1294,,,,1946
2026-03-04,616,C,15536,0.1288,,,,446
2026-03-04,616,P,4210,0.1288,,,,509
2026-03-04,617,C,13278,0.1283,,,,3373
2026-03-04,617,P,5851,0.1283,,,,1145
2026-03-04,618,C,20913,0.1277,,,,4403
2026-03-04,618,P,5192,0.1277,,,,108
2026-03-04,619,C,22983,0.1272,,,,5274
2026-03-04,619,P,4912,0.1272,,,,834
2026-03-04,620,C,38811,0.1266,,,,1493
2026-03-04,620,P,10350,0.1266,,,,937
2026-03-04,621,C,11649,0.1261,,,,1099
2026-03-04,621,P,5059,0.1261,,,,391
2026-03-04,622,C,20498,0.1256,,,,6010
2026-03-04,622,P,3966,0.1256,,,,504
2026-03-04,623,C,16445,0.1251,,,,3477
2026-03-04,623,P,4504,0.1251,,,,868
2026-03-04,624,C,18103,0.1246,,,,754
2026-03-04,624,P,2478,0.1246,,,,225
2026-03-04,625,C,64022,0.1241,,,,6737
2026-03-04,625,P,11495,0.1241,,,,270
2026-03-04,626,C,9906,0.1236,,,,943
2026-03-04,626,P,3385,0.1236,,,,723
2026-03-04,627,C,16861,0.1231,,,,1710
2026-03-04,627,P,2794,0.1231,,,,419
2026-03-04,628,C,13906,0.1227,,,,739
2026-03-04,628,P,3356,0.1227,,,,254
2026-03-04,629,C,19076,0.1222,,,,5382
2026-03-04,629,P,1449,0.1222,,,,215
2026-03-04,630,C,31753,0.1218,,,,9242
2026-03-04,630,P,3973,0.1218,,,,378
2026-03-04,631,C,9841,0.1214,,,,2802
2026-03-04,631,P,1544,0.1214,,,,282
2026-03-04,632,C,8796,0.1209,,,,1466
2026-03-04,632,P,2522,0.1209,,,,144
2026-03-04,633,C,14883,0.1205,,,,2417
2026-03-04,633,P,2230,0.1205,,,,483
2026-03-04,634,C,8927,0.1202,,,,2422
2026-03-04,634,P,1548,0.1202,,,,41
2026-03-04,635,C,8214,0.1198,,,,1295
2026-03-04,635,P,1725,0.1198,,,,180
2026-03-04,636,C,7436,0.1194,,,,864
2026-03-04,636,P,1123,0.1194,,,,286
2026-03-04,637,C,6001,0.119,,,,1381
2026-03-04,637,P,1533,0.119,,,,82
2026-03-04,638,C,12782,0.1187,,,,2807
2026-03-04,638,P,1457,0.1187,,,,147
2026-03-04,639,C,8162,0.1183,,,,1061
2026-03-04,639,P,1409,0.1183,,,,260
2026-03-04,640,C,14625,0.118,,,,2045
2026-03-04,640,P,1432,0.118,,,,47
2026-03-04,641,C,5617,0.1177,,,,1425
2026-03-04,641,P,693,0.1177,,,,195
2026-03-04,642,C,6264,0.1174,,,,591
2026-03-04,642,P,769,0.1174,,,,56
2026-03-04,643,C,6685,0.117,,,,1923
2026-03-04,643,P,906,0.117,,,,224
2026-03-04,644,C,7793,0.1168,,,,2148
2026-03-04,644,P,851,0.1168,,,,147
2026-03-04,645,C,9818,0.1165,,,,332
2026-03-04,645,P,845,0.1165,,,,123
2026-03-04,646,C,7597,0.1162,,,,1522
2026-03-04,646,P,428,0.1162,,,,14
2026-03-04,647,C,8009,0.1159,,,,445
2026-03-04,647,P,457,0.1159,,,,53
2026-03-04,648,C,4722,0.1157,,,,1071
2026-03-04,648,P,583,0.1157,,,,54
2026-03-04,649,C,5973,0.1154,,,,622
2026-03-04,649,P,398,0.1154,,,,51
2026-03-04,650,C,12474,0.1152,,,,814
2026-03-04,650,P,895,0.1152,,,,244
2026-03-04,651,C,4689,0.1149,,,,382
2026-03-04,651,P,409,0.1149,,,,122
2026-03-04,652,C,4237,0.1147,,,,250
2026-03-04,652,P,209,0.1147,,,,9
2026-03-04,653,C,3617,0.1145,,,,164
2026-03-04,653,P,197,0.1145,,,,18
2026-03-04,654,C,4095,0.1143,,,,1099
2026-03-04,654,P,268,0.1143,,,,36
2026-03-04,655,C,4224,0.1141,,,,704
2026-03-04,655,P,226,0.1141,,,,25
2026-03-04,656,C,2203,0.1139,,,,215
2026-03-04,656,P,247,0.1139,,,,13
2026-03-04,657,C,3175,0.1138,,,,623
2026-03-04,657,P,207,0.1138,,,,16
2026-03-04,658,C,2411,0.1136,,,,215
2026-03-04,658,P,131,0.1136,,,,18
2026-03-04,659,C,3748,0.1134,,,,965
2026-03-04,659,P,166,0.1134,,,,4
2026-03-04,660,C,3040,0.1133,,,,664
2026-03-04,660,P,284,0.1133,,,,43
2026-03-04,661,C,2541,0.1132,,,,50
2026-03-04,661,P,92,0.1132,,,,25
2026-03-04,662,C,2778,0.113,,,,720
2026-03-04,662,P,124,0.113,,,,11
2026-03-04,663,C,1403,0.1129,,,,88
2026-03-04,663,P,81,0.1129,,,,17
2026-03-04,664,C,2558,0.1128,,,,568
2026-03-04,664,P,79,0.1128,,,,18
2026-03-04,665,C,2110,0.1127,,,,368
2026-03-04,665,P,49,0.1127,,,,11
2026-03-04,666,C,1268,0.1126,,,,351
2026-03-04,666,P,61,0.1126,,,,6
2026-03-04,667,C,1045,0.1125,,,,94
2026-03-04,667,P,54,0.1125,,,,11
2026-03-04,668,C,945,0.1124,,,,37
2026-03-04,668,P,44,0.1124,,,,8
2026-03-04,669,C,1148,0.1124,,,,94
2026-03-04,669,P,41,0.1124,,,,0
2026-03-04,670,C,1853,0.1123,,,,276
2026-03-04,670,P,86,0.1123,,,,17
2026-03-06,500,C,426,0.2833,,,,65
2026-03-06,500,P,6523,0.2833,,,,581
2026-03-06,501,C,144,0.281,,,,31
2026-03-06,501,P,2194,0.281,,,,57
2026-03-06,502,C,116,0.2787,,,,24
2026-03-06,502,P,2583,0.2787,,,,237
2026-03-06,503,C,145,0.2765,,,,40
2026-03-06,503,P,2292,0.2765,,,,67
2026-03-06,504,C,123,0.2743,,,,16
2026-03-06,504,P,3569,0.2743,,,,269
2026-03-06,505,C,240,0.2721,,,,54
2026-03-06,505,P,4145,0.2721,,,,321
2026-03-06,506,C,235,0.2699,,,,25
2026-03-06,506,P,4397,0.2699,,,,372
2026-03-06,507,C,145,0.2677,,,,33
2026-03-06,507,P,3098,0.2677,,,,887
2026-03-06,508,C,205,0.2655,,,,14
2026-03-06,508,P,3052,0.2655,,,,417
2026-03-06,509,C,255,0.2634,,,,72
2026-03-06,509,P,2969,0.2634,,,,386
2026-03-06,510,C,361,0.2613,,,,105
2026-03-06,510,P,5925,0.2613,,,,204
2026-03-06,511,C,174,0.2592,,,,22
2026-03-06,511,P,6076,0.2592,,,,1624
2026-03-06,512,C,349,0.2571,,,,104
2026-03-06,512,P,6530,0.2571,,,,732
2026-03-06,513,C,240,0.2551,,,,67
2026-03-06,513,P,6114,0.2551,,,,176
2026-03-06,514,C,396,0.253,,,,49
2026-03-06,514,P,4828,0.253,,,,544
2026-03-06,515,C,350,0.251,,,,7
2026-03-06,515,P,5807,0.251,,,,687
2026-03-06,516,C,565,0.249,,,,30
2026-03-06,516,P,8114,0.249,,,,633
2026-03-06,517,C,398,0.247,,,,99
2026-03-06,517,P,7798,0.247,,,,1100
2026-03-06,518,C,312,0.245,,,,47
2026-03-06,518,P,5831,0.245,,,,1617
2026-03-06,519,C,400,0.2431,,,,48
2026-03-06,519,P,8948,0.2431,,,,254
2026-03-06,520,C,1013,0.2412,,,,250
2026-03-06,520,P,16360,0.2412,,,,513
2026-03-06,521,C,390,0.2392,,,,14
2026-03-06,521,P,9898,0.2392,,,,910
2026-03-06,522,C,805,0.2373,,,,218
2026-03-06,522,P,6731,0.2373,,,,647
2026-03-06,523,C,992,0.2355,,,,191
2026-03-06,523,P,6517,0.2355,,,,1438
2026-03-06,524,C,668,0.2336,,,,64
2026-03-06,524,P,5051,0.2336,,,,1169
2026-03-06,525,C,3828,0.2318,,,,756
2026-03-06,525,P,40114,0.2318,,,,1074
2026-03-06,526,C,715,0.2299,,,,109
2026-03-06,526,P,12352,0.2299,,,,3546
2026-03-06,527,C,889,0.2281,,,,80
2026-03-06,527,P,8861,0.2281,,,,1401
2026-03-06,528,C,1411,0.2263,,,,100
2026-03-06,528,P,12086,0.2263,,,,2740
2026-03-06,529,C,1420,0.2245,,,,335
2026-03-06,529,P,10941,0.2245,,,,1223
2026-03-06,530,C,1967,0.2228,,,,238
2026-03-06,530,P,24280,0.2228,,,,1022
2026-03-06,531,C,982,0.221,,,,226
2026-03-06,531,P,8596,0.221,,,,327
2026-03-06,532,C,870,0.2193,,,,152
2026-03-06,532,P,9573,0.2193,,,,2818
2026-03-06,533,C,1939,0.2176,,,,575
2026-03-06,533,P,9315,0.2176,,,,405
2026-03-06,534,C,1073,0.2159,,,,171
2026-03-06,534,P,13806,0.2159,,,,2003
2026-03-06,535,C,1665,0.2142,,,,227
2026-03-06,535,P,16675,0.2142,,,,3480
2026-03-06,536,C,2161,0.2126,,,,555
2026-03-06,536,P,14160,0.2126,,,,763
2026-03-06,537,C,2445,0.2109,,,,250
2026-03-06,537,P,13543,0.2109,,,,1685
2026-03-06,538,C,2433,0.2093,,,,184
2026-03-06,538,P,10527,0.2093,,,,933
2026-03-06,539,C,1570,0.2077,,,,420
2026-03-06,539,P,14374,0.2077,,,,1600
2026-03-06,540,C,4018,0.2061,,,,1196
2026-03-06,540,P,26478,0.2061,,,,2244
2026-03-06,541,C,3051,0.2045,,,,619
2026-03-06,541,P,19743,0.2045,,,,960
2026-03-06,542,C,2540,0.203,,,,633
2026-03-06,542,P,18438,0.203,,,,5089
2026-03-06,543,C,1735,0.2014,,,,177
2026-03-06,543,P,10289,0.2014,,,,751
2026-03-06,544,C,4002,0.1999,,,,733
2026-03-06,544,P,20289,0.1999,,,,2520
2026-03-06,545,C,4957,0.1984,,,,722
2026-03-06,545,P,15536,0.1984,,,,3694
2026-03-06,546,C,4392,0.1969,,,,217
2026-03-06,546,P,16865,0.1969,,,,3264
2026-03-06,547,C,2642,0.1954,,,,325
2026-03-06,547,P,11358,0.1954,,,,875
2026-03-06,548,C,2890,0.1939,,,,542
2026-03-06,548,P,18147,0.1939,,,,1396
2026-03-06,549,C,2304,0.1925,,,,257
2026-03-06,549,P,18771,0.1925,,,,1348
2026-03-06,550,C,11492,0.191,,,,884
2026-03-06,550,P,70015,0.191,,,,12144
2026-03-06,551,C,2717,0.1896,,,,131
2026-03-06,551,P,15461,0.1896,,,,2690
2026-03-06,552,C,4870,0.1882,,,,221
2026-03-06,552,P,12482,0.1882,,,,2680
2026-03-06,553,C,4262,0.1868,,,,423
2026-03-06,553,P,14606,0.1868,,,,4190
2026-03-06,554,C,4087,0.1854,,,,730
2026-03-06,554,P,15444,0.1854,,,,2109
2026-03-06,555,C,8121,0.1841,,,,2428
2026-03-06,555,P,19594,0.1841,,,,1473
2026-03-06,556,C,6215,0.1827,,,,478
2026-03-06,556,P,10722,0.1827,,,,2921
2026-03-06,557,C,5152,0.1814,,,,1286
2026-03-06,557,P,16515,0.1814,,,,4412
2026-03-06,558,C,5543,0.1801,,,,363
2026-03-06,558,P,10989,0.1801,,,,1916
2026-03-06,559,C,6633,0.1788,,,,1822
2026-03-06,559,P,12115,0.1788,,,,2352
2026-03-06,560,C,10571,0.1775,,,,1704
2026-03-06,560,P,24674,0.1775,,,,2450
2026-03-06,561,C,6560,0.1762,,,,1831
2026-03-06,561,P,12485,0.1762,,,,1964
2026-03-06,562,C,8335,0.1749,,,,2423
2026-03-06,562,P,13798,0.1749,,,,765
2026-03-06,563,C,9418,0.1737,,,,2760
2026-03-06,563,P,17971,0.1737,,,,627
2026-03-06,564,C,9665,0.1724,,,,1243
2026-03-06,564,P,24114,0.1724,,,,4670
2026-03-06,565,C,11753,0.1712,,,,762
2026-03-06,565,P,27954,0.1712,,,,2297
2026-03-06,566,C,7132,0.17,,,,1832
2026-03-06,566,P,22946,0.17,,,,1634
2026-03-06,567,C,6181,0.1688,,,,815
2026-03-06,567,P,18366,0.1688,,,,2339
2026-03-06,568,C,5755,0.1677,,,,513
2026-03-06,568,P,21277,0.1677,,,,5771
2026-03-06,569,C,5378,0.1665,,,,954
2026-03-06,569,P,21636,0.1665,,,,663
2026-03-06,570,C,21140,0.1653,,,,1119
2026-03-06,570,P,36577,0.1653,,,,6364
2026-03-06,571,C,9930,0.1642,,,,1049
2026-03-06,571,P,16573,0.1642,,,,3035
2026-03-06,572,C,8719,0.1631,,,,1782
2026-03-06,572,P,16814,0.1631,,,,2400
2026-03-06,573,C,5891,0.162,,,,1138
2026-03-06,573,P,17256,0.162,,,,1481
2026-03-06,574,C,11833,0.1609,,,,2820
2026-03-06,574,P,16653,0.1609,,,,1170
2026-03-06,575,C,33338,0.1598,,,,1666
2026-03-06,575,P,40709,0.1598,,,,5722
2026-03-06,576,C,6910,0.1587,,,,993
2026-03-06,576,P,16969,0.1587,,,,533
2026-03-06,577,C,11646,0.1577,,,,501
2026-03-06,577,P,19715,0.1577,,,,4687
2026-03-06,578,C,10832,0.1566,,,,381
2026-03-06,578,P,16431,0.1566,,,,2067
2026-03-06,579,C,14914,0.1556,,,,866
2026-03-06,579,P,20742,0.1556,,,,6200
2026-03-06,580,C,25188,0.1546,,,,6251
2026-03-06,580,P,22773,0.1546,,,,6715
2026-03-06,581,C,11320,0.1536,,,,3258
2026-03-06,581,P,20800,0.1536,,,,1377
2026-03-06,582,C,14277,0.1526,,,,4005
2026-03-06,582,P,9999,0.1526,,,,1182
2026-03-06,583,C,14217,0.1516,,,,916
2026-03-06,583,P,19805,0.1516,,,,1921
2026-03-06,584,C,15015,0.1507,,,,903
2026-03-06,584,P,14762,0.1507,,,,4097
2026-03-06,585,C,11661,0.1497,,,,1091
2026-03-06,585,P,18121,0.1497,,,,1981
2026-03-06,586,C,7767,0.1488,,,,551
2026-03-06,586,P,10287,0.1488,,,,2902
2026-03-06,587,C,14296,0.1478,,,,3870
2026-03-06,587,P,10135,0.1478,,,,2430
2026-03-06,588,C,8754,0.1469,,,,1475
2026-03-06,588,P,14928,0.1469,,,,1802
2026-03-06,589,C,16603,0.146,,,,2913
2026-03-06,589,P,13967,0.146,,,,3730
2026-03-06,590,C,16777,0.1451,,,,5000
2026-03-06,590,P,26819,0.1451,,,,3496
2026-03-06,591,C,16134,0.1443,,,,1518
2026-03-06,591,P,17329,0.1443,,,,3148
2026-03-06,592,C,11666,0.1434,,,,2730
2026-03-06,592,P,11541,0.1434,,,,802
2026-03-06,593,C,15803,0.1426,,,,529
2026-03-06,593,P,14759,0.1426,,,,1343
2026-03-06,594,C,14786,0.1417,,,,4369
2026-03-06,594,P,12187,0.1417,,,,2508
2026-03-06,595,C,14207,0.1409,,,,291
2026-03-06,595,P,8664,0.1409,,,,535
2026-03-06,596,C,14668,0.1401,,,,2068
2026-03-06,596,P,10812,0.1401,,,,2927
2026-03-06,597,C,9498,0.1393,,,,794
2026-03-06,597,P,11623,0.1393,,,,304
2026-03-06,598,C,8120,0.1385,,,,969
2026-03-06,598,P,6856,0.1385,,,,822
2026-03-06,599,C,10521,0.1377,,,,1929
2026-03-06,599,P,10350,0.1377,,,,798
2026-03-06,600,C,50441,0.1369,,,,7716
2026-03-06,600,P,22426,0.1369,,,,6329
2026-03-06,601,C,10717,0.1362,,,,662
2026-03-06,601,P,6075,0.1362,,,,1207
2026-03-06,602,C,17450,0.1354,,,,4170
2026-03-06,602,P,7964,0.1354,,,,748
2026-03-06,603,C,8170,0.1347,,,,1638
2026-03-06,603,P,8725,0.1347,,,,1030
2026-03-06,604,C,14913,0.134,,,,2151
2026-03-06,604,P,10776,0.134,,,,2428
2026-03-06,605,C,13269,0.1333,,,,3622
2026-03-06,605,P,6083,0.1333,,,,1026
2026-03-06,606,C,12215,0.1326,,,,1057
2026-03-06,606,P,4750,0.1326,,,,1130
2026-03-06,607,C,7998,0.1319,,,,1393
2026-03-06,607,P,9516,0.1319,,,,569
2026-03-06,608,C,9881,0.1312,,,,1879
2026-03-06,608,P,6768,0.1312,,,,1351
2026-03-06,609,C,16123,0.1306,,,,1110
2026-03-06,609,P,5452,0.1306,,,,567
2026-03-06,610,C,15488,0.1299,,,,4166
2026-03-06,610,P,14315,0.1299,,,,3153
2026-03-06,611,C,7636,0.1293,,,,1958
2026-03-06,611,P,7010,0.1293,,,,1053
2026-03-06,612,C,14879,0.1286,,,,2182
2026-03-06,612,P,4360,0.1286,,,,215
